"assumption","ES","gamma","n_bar","ICC_k","ICC_jk","ES_j","ES_k","ES_jk","ES_j_est","ES_k_est","ES_jk_est","cor_j","cor_k","cor_jk"
"exogeneity",0.1,0.01,100,0.05,0.05,0.223606797749979,0.223606797749979,0.223606797749979,0.224227014744244,0.223746758275777,0.223596364260981,0.196596839046952,0.437877050491854,0.0578699894453605
"exogeneity",0.1,0.01,100,0.15,0,0.223606797749979,0.129099444873581,Inf,0.224105524735509,0.129127235563889,Inf,0.196253101459904,0.456400919903084,0.057114596326198
"exogeneity",0.1,0.01,100,0.15,0.01,0.223606797749979,0.129099444873581,0.5,0.224508521202635,0.129108338387739,0.500026882146657,0.196446507160718,0.455270606276535,0.0571079922592318
"exogeneity",0.1,0.01,100,0.15,0.05,0.223606797749979,0.129099444873581,0.223606797749979,0.224263792292546,0.129257879440113,0.223634629560705,0.194983450977755,0.453597104266335,0.0562833494903358
"exogeneity",0.1,0.01,100,0.25,0,0.223606797749979,0.1,Inf,0.224171412875199,0.100147144103005,Inf,0.1936055253971,0.454837304325723,0.0556935680650272
"exogeneity",0.1,0.01,100,0.25,0.01,0.223606797749979,0.1,0.5,0.224608122526579,0.100008923041697,0.500003064543216,0.192802210316415,0.454136300126726,0.0559680996288864
"exogeneity",0.1,0.01,100,0.25,0.05,0.223606797749979,0.1,0.223606797749979,0.223877959833367,0.100130792048161,0.223524001787681,0.193908754773472,0.45142836636948,0.0553951068339539
"exogeneity",0.3,0.03,30,0.05,0,0.670820393249937,0.670820393249937,Inf,0.673830871906308,0.67058272322648,Inf,0.450898285479193,0.487808924331411,0.148860298627847
"exogeneity",0.3,0.03,30,0.05,0.01,0.670820393249937,0.670820393249937,1.5,0.672729032880079,0.671050732860075,1.50003259938942,0.44962131351914,0.488212958945096,0.148394246619184
"exogeneity",0.3,0.03,30,0.05,0.05,0.670820393249937,0.670820393249937,0.670820393249937,0.673105249779858,0.670886808634348,0.670946638356682,0.449378054405951,0.485014399674605,0.14783548688578
"exogeneity",0.3,0.03,30,0.15,0,0.670820393249937,0.387298334620742,Inf,0.672261708985411,0.387632093658802,Inf,0.446489363581283,0.516855635793616,0.146160343521642
"exogeneity",0.3,0.03,30,0.15,0.01,0.670820393249937,0.387298334620742,1.5,0.672077157354133,0.38796537683458,1.50016570803906,0.444217424783969,0.516969706130944,0.146219597137116
"exogeneity",0.3,0.03,30,0.15,0.05,0.670820393249937,0.387298334620742,0.670820393249937,0.671256383337505,0.387565689800835,0.670896595245248,0.444328882697931,0.515611662778584,0.145895209370918
"exogeneity",0.3,0.03,30,0.25,0,0.670820393249937,0.3,Inf,0.672740027963259,0.300401852242288,Inf,0.442906031929542,0.52342794481103,0.144598102622026
